,0
1391,284940937
1392,157506744
1393,265611847
1394,20989856
1395,302141982
1396,35278994
1397,297875800
1398,7582809
1399,273062054
1400,12562075
1401,180004993
1402,8659559
1403,287733510
1404,292249021
1405,253020954
1406,215335437
1407,14429831
1408,298321810
1409,52519762
1410,303424838
1411,245675006
1412,13665477
1413,236999524
1414,236704169
1415,282119834
1416,243410449
1417,293077253
1418,278357265
1419,144264279
1420,254697487
1421,288586319
1422,170482266
1423,25975189
1424,94459669
1425,62438180
1426,34226158
1427,286613422
1428,238749233
1429,216841680
1430,869302
1431,258725461
1432,309626563
1433,96622258
1434,302944082
1435,244141390
1436,18252673
1437,264051578
1438,35769645
1439,114597272
1440,307441941
1441,187795351
1442,45230007
1443,289975583
1444,283508519
1445,29383678
1446,17021003
1447,81752163
1448,180278949
1449,282499624
1450,256363469
1451,305397633
1452,51955212
1453,195221634
1454,178896752
1455,83474900
1456,192166886
1457,314995019
1458,34451087
1459,259726677
1460,7569687
1461,86838333
1462,263985043
1463,206523891
1464,141275247
1465,277614836
1466,305087917
1467,256485824
1468,267030662
1469,87783081
1470,275118257
1471,307385062
1472,284129731
1473,174031074
1474,242504375
1475,168132578
1476,115898015
1477,284263433
1478,174589966
1479,292100413
1480,311007557
1481,306140308
1482,167182401
1483,15688477
1484,211527890
1485,98162247
1486,234715508
1487,308356009
1488,83885561
1489,301554567
1490,4808829
1491,50314375
1492,290371379
1493,206699988
1494,308288082
1495,298955586
1496,311965953
1497,312159981
1498,261802751
1499,166728944
1500,278769019
1501,236483433
1502,154392476
1503,310624266
1504,191032996
1505,239368323
1506,294398313
1507,266837932
1508,120113789
1509,237027428
1510,314042023
1511,260108087
1512,137093467
1513,188641036
1514,8260827
1515,254548616
1516,142352406
1517,311503985
1518,17903545
1519,118861308
1520,98257202
1521,249202551
1522,282941502
1523,152813406
1524,263324311
1525,223709498
1526,186278051
1527,181544671
1528,307721208
1529,274105072
1530,289681414
1531,267936756
1532,11606913
1533,286614447
1534,315308506
1535,66563909
1536,300232810
1537,269821476
1538,286642623
1539,279580561
1540,268830571
1541,289524488
1542,295774708
1543,291908536
1544,246283897
1545,267160839
1546,298758588
1547,200857924
1548,45679418
1549,313117998
1550,199750908
1551,1990496
1552,303313352
1553,136259282
1554,241521608
1555,221329040
1556,2208421
1557,306317877
1558,294114759
1559,292842149
1560,274508303
1561,301034364
1562,69909761
1563,15788986
1564,251277480
1565,162366592
1566,67784592
1567,2140554
1568,209234611
1569,176850601
1570,223433610
1571,126883686
1572,285737617
1573,299905406
1574,291268038
1575,305094157
1576,212214103
1577,65801110
1578,216124667
1579,114439708
1580,285351383
1581,44043140
1582,305089327
1583,307885501
1584,171694175
1585,294897779
1586,308128807
1587,102844540
1588,251716077
1589,279207002
1590,290141478
1591,241299458
1592,303298751
1593,22301716
1594,118112714
1595,226930969
1596,149027847
1597,51001371
1598,193622098
1599,284077644
1600,279023678
1601,193052356
1602,22520165
1603,31177494
1604,285081741
1605,300275773
1606,289017456
1607,312971193
1608,12670324
1609,49698611
1610,275661346
1611,14103315
1612,309555894
1613,253647184
1614,278773413
1615,260658280
1616,53675654
1617,315353740
1618,259609310
1619,274327749
1620,151653010
1621,299220036
1622,253810186
1623,189507979
1624,305686759
1625,11681399
1626,1709449
1627,272792940
1628,25930140
1629,268546726
1630,307282119
1631,303732681
1632,198318948
1633,135379985
1634,193411126
1635,281824341
1636,1028062
1637,287202664
1638,102929952
1639,267617794
1640,313254022
1641,18245732
1642,305203835
1643,298340304
1644,111300593
1645,49755875
1646,66141604
1647,44403941
1648,559102
1649,300775834
1650,305912271
1651,130942404
